model,language,context,question_id,difficulty,category,question,reference_answer,model_answer,judge_score,judge_reasoning,retrieval_hit,exact_reference_match,all_reference_numbers_found,failure_type,token_budget,context_chars
gemma4,en,en_statements_full,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,"56% (332,149,236.2 out of  593,028,014.9)","The provided context does not contain the total 2026 program budget, so the share cannot be calculated.",0,"The model answer does not provide the correct share (56%) and claims insufficient information, which is incorrect.",0,0,0,retrieval_miss_model_wrong,full,29800
gemma4,en,en_statements_full,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,"Повышение социальных выплат - 76,517,019.4",The budget measure with the largest 2026 funding is 'Повышение социальных выплат' with 76.5 billion som.,3,The model correctly identifies the measure and provides an equivalent rounded funding amount.,1,0,1,retrieval_hit_model_right,full,29348
gemma4,en,en_statements_full,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом","The program 'Управление и администрирование' (code 001) receives the most 2026 funding with 184,945.8 thousand som.",0,"The model gave a different program and amount, not matching the reference answer.",1,0,1,retrieval_hit_model_wrong,full,31609
gemma4,en,en_statements_full,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,168 programs and 342 measures,The provided context does not contain information regarding the total number of budget programs and budget measures in the 2026 program-based budget.,0,"The model did not provide the required numbers, stating lack of information.",0,0,0,retrieval_miss_model_wrong,full,29254
gemma4,en,en_statements_full,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,1) Общегосударственные программы (МинФин); 2) Реализация проектов государственных инвестиций (Минводресурсов) 3) Государственная поддержка и развитие ирригации (Минводресурсов),"Based on the provided context, the programs with the largest absolute funding decreases from 2026 to 2027 are:

1. **Управление и администрирование (Министерство юстиции Кыргызской Республики)**: decrease of 16,245.7 тыс. сом (from 282,746.0 to 266,500.3).
2. **Управление и администрирование (Генеральная прокуратура Кыргызской Республики)**: decrease of 956.8 тыс. сом (from 115,861.1 to 114,914.3).
3. **Управление и администрирование (Академия государственного управления при Президенте Кыргызской Республики)**: decrease of 65.9 тыс. сом (from 6,239.5 to 6,173.6).",0,The model answer lists unrelated programs and does not match any of the three programs identified in the reference answer.,0,0,0,retrieval_miss_model_wrong,full,33951
deepseek-v3.2,en,en_statements_2000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,"42,380,106.4 тыс. сом",The context does not contain information on the funding for a 'School Education' program under the Ministry of Education.,0,"The model did not provide the required funding figure, stating the information is unavailable, which is incorrect.",0,0,0,retrieval_miss_model_wrong,2000,7863
deepseek-v3.2,en,en_statements_2000tok,2,easy,lookup,How many budget programs does the Ministry of Health have?,8,The context does not specify the number of budget programs for the Ministry of Health (code 37).,0,"The model answer states the number is unspecified, contradicting the reference answer of 8.",0,0,0,retrieval_miss_model_wrong,2000,7969
deepseek-v3.2,en,en_statements_2000tok,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом","Based solely on the provided context, the program with the largest funding allocation is 'Министерство просвещения Кыргызской Республики' with 56.4 billion som.",0,"The model gave a different program and amount, not matching the reference answer.",0,0,0,retrieval_miss_model_wrong,2000,7895
deepseek-v3.2,en,en_statements_2000tok,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,88,"The context lists 41 distinct GRBS codes for ministries, agencies, and other entities.",1,The model mentions ministries and agencies but gives an incorrect count (41) instead of the correct total of 88.,1,1,0,retrieval_hit_model_wrong,2000,7965
deepseek-v3.2,en,en_statements_2000tok,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,"1,127,306.9 тыс. сом",1.1 billion som.,3,Model answer correctly approximates the reference value (1.127 billion som) as 1.1 billion som.,1,0,1,retrieval_hit_model_right,2000,7967
deepseek-v3.2,en,en_statements_2000tok,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,"56,424,894.11 тыс. сом",56.4 billion som,3,"Model answer correctly gives the total funding as 56.4 billion som, matching the reference value (56,424,894.11 тыс. сом) with acceptable rounding.",0,0,0,retrieval_miss_model_right,2000,7916
deepseek-v3.2,en,en_statements_2000tok,7,medium,aggregation,What is the total budget across all program-level items for 2026?,"Примерно 593.2 млрд сом (593,152,147.3 тыс. сом)",The context does not contain the total budget across all program-level items for 2026. It only provides individual allocations for specific ministries and agencies.,0,"The model answer fails to provide the correct total budget value, stating the information is missing instead of giving the ~593.2 billion som figure.",0,0,0,retrieval_miss_model_wrong,2000,7955
deepseek-v3.2,en,en_statements_2000tok,8,medium,comparison,Which ministry receives more funding: Ministry of Health or Ministry of Education?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3  тыс. сом у здравоохранения",The context does not contain the specific funding amounts for the Ministry of Health (code 37) or the Ministry of Education (code 34) to make a comparison.,0,"The model claims the information is missing, whereas the reference provides the amounts and indicates Education receives more funding.",0,0,0,retrieval_miss_model_wrong,2000,7816
deepseek-v3.2,en,en_statements_2000tok,9,medium,comparison,"Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?",declines by 7.1%,The context does not contain the information needed to calculate the overall total program-level budget change between 2026 and 2027.,0,"The model did not provide the required answer of a 7.1% decline, claiming lack of information instead.",0,0,0,retrieval_miss_model_wrong,2000,7962
deepseek-v3.2,en,en_statements_2000tok,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,Program 45/263 'Общегосударственные программы' has the smallest non-zero funding in 2026 at 0.0 тыс. сом.,0,"Model gave an incorrect program and a zero amount, not matching the reference's program with 739.4 тыс. сом.",0,0,0,retrieval_miss_model_wrong,2000,7994
deepseek-v3.2,en,en_statements_2000tok,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,Процент (%),The most commonly used unit of measurement for performance indicators in the 2026 budget is percentage (%).,3,"The model correctly identifies the unit as percentage (%), matching the reference answer.",0,0,0,retrieval_miss_model_right,2000,7908
deepseek-v3.2,en,en_statements_2000tok,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,"16,881,928.10",16.9 billion som.,0,"The model gave 16.9 billion som, which does not match the reference value of 16,881,928.10 (approximately 16.9 million som).",1,0,1,retrieval_hit_model_wrong,2000,7985
deepseek-v3.2,en,en_statements_2000tok,13,hard,filter,How many ministries/agencies have exactly one budget program?,19,"The context does not contain the specific data on the number of budget programs allocated to each ministry/agency, so it is not possible to determine how many have exactly one.",0,"The model says the data is unavailable, whereas the correct answer is 19.",1,1,0,retrieval_hit_model_wrong,2000,7969
deepseek-v3.2,en,en_statements_2000tok,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,9,"Based on the provided context, no program shows funding growth of more than 10% between 2026 and 2027. The largest increase shown is for Program 43/001 at approximately 25.5% (from 119,287.5 to 149,718.3), but this is not explicitly stated as a growth percentage in the context; only the raw numbers are given. The context only provides specific percentage changes for various 'Управление и администрирование' funding lines, and none of those exceed 10%.",0,"The model answer states no programs exceed 10% growth, contradicting the reference answer of 9 programs.",0,0,0,retrieval_miss_model_wrong,2000,7912
deepseek-v3.2,en,en_statements_2000tok,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,50,"Based on the context, there are 9 rows with a performance indicator measured in people (чел.).",2,"Identifies the correct entity (rows with performance indicator measured in people) but gives the wrong number; reference answer is 50, model says 9.",0,0,0,retrieval_miss_model_right,2000,7876
deepseek-v3.2,en,en_statements_2000tok,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,"56% (332,149,236.2 out of  593,028,014.9)",The context does not contain the numerical data needed to calculate the share of the total 2026 program budget allocated to the Ministry of Finance (General State Expenditures).,0,"The model did not provide the correct share (56%) and instead claimed insufficient data, which is incorrect.",0,0,0,retrieval_miss_model_wrong,2000,7883
deepseek-v3.2,en,en_statements_2000tok,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,"Повышение социальных выплат - 76,517,019.4","The budget measure ""Государственный долг"" has the largest 2026 funding at 38.0 billion som.",0,"The model gave a different measure and amount, not matching the reference answer.",0,0,0,retrieval_miss_model_wrong,2000,7899
deepseek-v3.2,en,en_statements_2000tok,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом",The context does not specify the funding amounts for individual programs under the Ministry of Emergency Situations (code 45).,0,"The model answer says the information is not specified, which contradicts the reference that provides the specific program and amount.",0,0,0,retrieval_miss_model_wrong,2000,7942
deepseek-v3.2,en,en_statements_2000tok,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,168 programs and 342 measures,The context does not contain the total number of budget programs and budget measures for the 2026 program-based budget.,0,The model answer does not provide the required numbers and incorrectly claims the information is unavailable.,0,0,0,retrieval_miss_model_wrong,2000,7849
deepseek-v3.2,en,en_statements_2000tok,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,1) Общегосударственные программы (МинФин); 2) Реализация проектов государственных инвестиций (Минводресурсов) 3) Государственная поддержка и развитие ирригации (Минводресурсов),"Based solely on the provided context, the three programs with the largest percentage decreases are:

1. 'Цифровизация сельского хозяйства' (Министерство водных ресурсов, сельского хозяйства и перерабатывающей промышленности Кыргызской Республики) decreases by 85.2%.
2. 'Управление и администрирование' (Министерство цифрового развития и инновационных технологий Кыргызской Республики) decreases by 61.3%.
3. 'Общегосударственные программы' (Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)) decreases by 31.9%.

The context does not contain the absolute funding amounts, only percentage changes. Therefore, it is not possible to determine the largest absolute funding decreases.",0,"The model answer lists incorrect programs and states it cannot determine absolute decreases, not matching the reference answer.",0,0,0,retrieval_miss_model_wrong,2000,7934
deepseek-v3.2,en,en_statements_8000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,"42,380,106.4 тыс. сом",The context does not contain information about a 'School Education' program or its funding under the Ministry of Education (Министерство просвещения).,0,"The model answer claims no information is available, contradicting the reference which provides a specific funding amount.",1,0,1,retrieval_hit_model_wrong,8000,31934
deepseek-v3.2,en,en_statements_8000tok,2,easy,lookup,How many budget programs does the Ministry of Health have?,8,"Based on the provided context, the Ministry of Health (Министерство здравоохранения Кыргызской Республики, code 37) has three budget programs mentioned: ""Управление и администрирование"" (code 001), ""Программа «Общественное здравоохранение»"" (code 372), and ""Программа «Организация предоставления услуг здравоохранения»"" (code 373).",0,The model gave an incorrect number of budget programs (three) instead of the correct answer (8).,1,1,0,retrieval_hit_model_wrong,8000,31923
deepseek-v3.2,en,en_statements_8000tok,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом","The program with the largest funding allocation in the 2026 budget is 'Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)' with 332.1 billion som.",2,The model identified the correct program but gave an incorrect funding amount.,0,0,0,retrieval_miss_model_right,8000,28496
deepseek-v3.2,en,en_statements_8000tok,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,88,"The context lists 68 distinct GRBS codes (from 11 to 88) for ministries, agencies, and other entities allocated budget programs in the 2026 republican budget.",0,The model gave 68 instead of the correct total of 88 ministries and agencies.,1,1,0,retrieval_hit_model_wrong,8000,29451
deepseek-v3.2,en,en_statements_8000tok,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,"1,127,306.9 тыс. сом",1.1 billion som,3,"Model answer correctly approximates the total funding (1.1 billion som) matching the reference value of 1,127,306.9 тыс. сом.",1,0,1,retrieval_hit_model_right,8000,27738
deepseek-v3.2,en,en_statements_8000tok,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,"56,424,894.11 тыс. сом",56.4 billion som,3,"Model answer correctly gives the total funding as 56.4 billion som, matching the reference value (56,424,894.11 тыс. сом) with acceptable rounding.",0,0,0,retrieval_miss_model_right,8000,31889
deepseek-v3.2,en,en_statements_8000tok,7,medium,aggregation,What is the total budget across all program-level items for 2026?,"Примерно 593.2 млрд сом (593,152,147.3 тыс. сом)","The total 2026 budget across all program-level items is 332.1 billion som for 'Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)'. The context does not provide a sum of all individual ministry allocations to calculate a single overall total.",0,The model answer gives an incorrect figure (332.1 bn) and fails to provide the correct total of approximately 593.2 bn som.,0,0,0,retrieval_miss_model_wrong,8000,26064
deepseek-v3.2,en,en_statements_8000tok,8,medium,comparison,Which ministry receives more funding: Ministry of Health or Ministry of Education?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3  тыс. сом у здравоохранения","Ministry of Education (Министерство просвещения) receives more funding. Its total is 56,424,894.1 thousand som in 2026, compared to the Ministry of Health's (Министерство здравоохранения) 41,621,347.3 thousand som in 2026.",3,The model correctly identifies the Ministry of Education as receiving more funding and provides the matching figures.,0,0,0,retrieval_miss_model_right,8000,31856
deepseek-v3.2,en,en_statements_8000tok,9,medium,comparison,"Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?",declines by 7.1%,The context does not contain information about the total program-level budget change from 2026 to 2027. It only provides changes for individual ministries and agencies.,0,"The model answer incorrectly states no information is available, whereas the reference provides a specific decline of 7.1%.",1,0,1,retrieval_hit_model_wrong,8000,26225
deepseek-v3.2,en,en_statements_8000tok,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,Program 40/402 'Внесение предложений по защите материальных и социальных прав ветеранов и ветеранских организаций' has the smallest non-zero funding in 2026 at 739.4 тыс. сом.,3,The model correctly identifies the program with the smallest non-zero funding and gives the exact amount of 739.4 тыс. сом.,0,0,0,retrieval_miss_model_right,8000,28942
deepseek-v3.2,en,en_statements_8000tok,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,Процент (%),The most commonly used unit of measurement for performance indicators in the 2026 budget is percentage (%).,3,"The model correctly identifies the unit as percentage (%), matching the reference answer.",0,0,0,retrieval_miss_model_right,8000,31899
deepseek-v3.2,en,en_statements_8000tok,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,"16,881,928.10",16.9 billion som.,0,"The model gave 16.9 billion som, which does not match the reference value of 16,881,928.10 (approximately 16.9 million som).",1,0,1,retrieval_hit_model_wrong,8000,29453
deepseek-v3.2,en,en_statements_8000tok,13,hard,filter,How many ministries/agencies have exactly one budget program?,19,"Based on the provided context, the information to determine the exact number of ministries/agencies with exactly one budget program is not available. The context lists ministries/agencies and some of their programs but does not provide a complete list of all programs for each entity.",0,"The model answer states the information is unavailable, contradicting the reference answer of 19.",1,1,0,retrieval_hit_model_wrong,8000,31839
deepseek-v3.2,en,en_statements_8000tok,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,9,"Based solely on the provided context, the number of programs with funding growth of more than 10% from 2026 to 2027 is **3**.

The programs are:
1. Program 80/001 'Управление и администрирование' (Национальная академия наук Кыргызской Республики): increases by 133.6%.
2. Program 43/001 'Управление и администрирование' (Министерство транспорта и коммуникаций Кыргызской Республики): increases by 25.5%.
3. Program 44/001 'Управление и администрирование' (Министерство цифрового развития и инновационных технологий Кыргызской Республики): decreases by 61.3% (Note: This is a decrease, not growth. The context also shows Program 69/001 for the same ministry with a large decrease, but no specific growth >10% for that code. The only explicit growth rates >10% are the 133.6% and 25.5% listed.)

Clarification: The context lists many growth percentages, but only the two increases (133.6% and 25.5%) are explicitly over 10%. The total budget growth for 'Министерство энергетики' is 33.2%, but this is for the total budget, not a specific program's funding in the provided data. Therefore, based strictly on the program funding growth figures given, the count is 2. However, the question asks for ""programs,"" and the context includes Program 45/263 'Общегосударственные программы' which goes from 0.0 in 2026 to 275.0 in 2027, which is an increase from zero. This represents an infinite percentage growth and should be counted as growth >10%. Adding this gives a total of 3 programs.",0,"The model answer gives 3 programs, but the correct number is 9, so it is incorrect.",1,1,0,retrieval_hit_model_wrong,8000,26917
deepseek-v3.2,en,en_statements_8000tok,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,50,"Based on the provided context, there are 22 rows with a performance indicator measured in people (чел.).",2,The model identified the correct type of rows but gave an incorrect count (22 instead of the correct 50).,1,1,0,retrieval_hit_model_right,8000,31901
deepseek-v3.2,en,en_statements_8000tok,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,"56% (332,149,236.2 out of  593,028,014.9)","Based solely on the provided context, the total 2026 allocation for 'Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)' (code 26) is 332,149,236.1 thousand som. The context does not provide the total sum of the entire 2026 program-based budget, so the share cannot be calculated.",0,"The model answer says the share cannot be calculated, whereas the reference provides a specific share of 56%.",0,0,0,retrieval_miss_model_wrong,8000,29800
deepseek-v3.2,en,en_statements_8000tok,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,"Повышение социальных выплат - 76,517,019.4","The budget measure ""Государственный долг"" receives 38.0 billion som in 2026, which is the largest funding amount listed for any measure.",0,"The model gave a different measure and amount, not matching the reference answer.",0,0,0,retrieval_miss_model_wrong,8000,29348
deepseek-v3.2,en,en_statements_8000tok,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом","Based solely on the provided context, the program under the Ministry of Emergency Situations (code 45) that receives the most 2026 funding is 'Управление и администрирование' (code 001), allocated 184,945.8 thousand som in 2026.",0,"The model gave a different program and amount, not matching the reference answer.",0,0,0,retrieval_miss_model_wrong,8000,31609
deepseek-v3.2,en,en_statements_8000tok,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,168 programs and 342 measures,The context does not contain the total number of budget programs and budget measures in the 2026 program-based budget.,0,"The model answer incorrectly states the information is unavailable, whereas the reference provides the exact numbers.",0,0,0,retrieval_miss_model_wrong,8000,29254
deepseek-v3.2,en,en_statements_8000tok,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,1) Общегосударственные программы (МинФин); 2) Реализация проектов государственных инвестиций (Минводресурсов) 3) Государственная поддержка и развитие ирригации (Минводресурсов),"Based solely on the provided context, the largest absolute funding decreases from 2026 to 2027 are:

1. 'Общегосударственные программы' (Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)): Decrease of 31.9%.
2. 'Цифровизация сельского хозяйства' (Министерство водных ресурсов, сельского хозяйства и перерабатывающей промышленности Кыргызской Республики): Decrease of 85.2%.
3. 'Создание и распространение телерадиовещания на территории КР и за ее пределами' (Телерадиовещательные компании Кыргызской Республики): Decrease of 61.7%.

Note: The context provides percentage changes but not the absolute som amounts for these specific programs, so the ranking is based on the magnitude of the percentage decreases reported.",1,"Only one of the three programs matches the reference; the other two are incorrect, so the answer is largely wrong.",0,0,0,retrieval_miss_model_wrong,8000,31914
deepseek-v3.2,en,en_statements_16000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,"42,380,106.4 тыс. сом",The context does not contain information on a specific 'School Education' program or its funding under the Ministry of Education (Министерство просвещения).,0,"The model answer does not provide the required funding figure and states the information is unavailable, which is incorrect.",1,0,1,retrieval_hit_model_wrong,16000,32265
deepseek-v3.2,en,en_statements_16000tok,2,easy,lookup,How many budget programs does the Ministry of Health have?,8,The context does not specify the number of budget programs for the Ministry of Health (code 37).,0,"The model answer states the number is unspecified, contradicting the reference answer of 8.",1,1,0,retrieval_hit_model_wrong,16000,44203
deepseek-v3.2,en,en_statements_16000tok,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом","Based solely on the provided context, the program with the largest funding allocation in the 2026 budget is 'Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)' with a total allocation of 332.1 billion som.",2,Identifies the correct program but provides an incorrect funding amount.,0,0,0,retrieval_miss_model_right,16000,28496
deepseek-v3.2,en,en_statements_16000tok,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,88,The context lists 68 distinct ministries and agencies with GRBS codes and allocations in the 2026 program-based budget.,2,Provides a number for ministries and agencies but the value (68) does not match the correct total (88).,1,1,0,retrieval_hit_model_right,16000,29451
deepseek-v3.2,en,en_statements_16000tok,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,"1,127,306.9 тыс. сом",1.1 billion som,3,"Model's 1.1 billion som correctly approximates the reference 1,127,306.9 тыс. сом (≈1.127 billion som).",1,0,1,retrieval_hit_model_right,16000,27738
deepseek-v3.2,en,en_statements_16000tok,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,"56,424,894.11 тыс. сом",56.4 billion som,3,"Model answer correctly gives the total funding as 56.4 billion som, matching the reference value (56,424,894.11 тыс. сом) with acceptable rounding.",0,0,0,retrieval_miss_model_right,16000,32711
deepseek-v3.2,en,en_statements_16000tok,7,medium,aggregation,What is the total budget across all program-level items for 2026?,"Примерно 593.2 млрд сом (593,152,147.3 тыс. сом)",The total 2026 budget across all program-level items is not provided in the context. The context only gives individual allocations for specific ministries and agencies.,0,"Model answer incorrectly states the total budget is not provided, whereas the reference gives a specific value.",0,0,0,retrieval_miss_model_wrong,16000,26064
deepseek-v3.2,en,en_statements_16000tok,8,medium,comparison,Which ministry receives more funding: Ministry of Health or Ministry of Education?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3  тыс. сом у здравоохранения","Ministry of Education (Министерство просвещения, code 34) receives more funding with 56,424,894.1 thousand som in 2026, compared to Ministry of Health (Министерство здравоохранения, code 37) with 41,621,347.3 thousand som in 2026.",3,The model correctly identifies Ministry of Education as receiving more funding and provides matching figures.,0,0,0,retrieval_miss_model_right,16000,41486
deepseek-v3.2,en,en_statements_16000tok,9,medium,comparison,"Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?",declines by 7.1%,"The context does not contain the total program-level budget figure for 2026 and 2027, so the overall percentage change cannot be determined.",0,The model answer fails to provide the correct fact that the budget declines by 7.1%.,1,0,1,retrieval_hit_model_wrong,16000,26225
deepseek-v3.2,en,en_statements_16000tok,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,Program 40/402 'Внесение предложений по защите материальных и социальных прав ветеранов и ветеранских организаций' has the smallest non-zero funding in 2026 at 739.4 тыс. сом.,3,"The model correctly identifies the program with the smallest non-zero funding and gives the exact amount, despite a minor variation in the program name.",0,0,0,retrieval_miss_model_right,16000,28942
deepseek-v3.2,en,en_statements_16000tok,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,Процент (%),The most commonly used unit of measurement for performance indicators in the 2026 budget is percentage (%).,3,"The model correctly identifies the unit as percentage (%), matching the reference answer.",0,0,0,retrieval_miss_model_right,16000,34521
deepseek-v3.2,en,en_statements_16000tok,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,"16,881,928.10",16.9 billion som.,0,"The model gave 16.9 billion som, which does not match the reference value of 16,881,928.10 (approximately 16.9 million som).",1,0,1,retrieval_hit_model_wrong,16000,29453
deepseek-v3.2,en,en_statements_16000tok,13,hard,filter,How many ministries/agencies have exactly one budget program?,19,The context does not contain the information needed to determine how many ministries/agencies have exactly one budget program.,0,"The model answer does not provide the required number (19) and instead claims insufficient information, which is incorrect.",1,1,0,retrieval_hit_model_wrong,16000,33104
deepseek-v3.2,en,en_statements_16000tok,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,9,"Based on the context, only one program shows funding growth of more than 10% between 2026 and 2027: 'Управление и администрирование' for Национальная академия наук Кыргызской Республики, which increases by 133.6%.",0,The model gave an incorrect number (1) instead of the correct count of 9 programs.,1,1,0,retrieval_hit_model_wrong,16000,26917
deepseek-v3.2,en,en_statements_16000tok,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,50,"Based on the provided context, there are 24 rows with a performance indicator measured in people (чел.).",2,The model identified the correct type of rows but gave the wrong count (24 instead of the correct 50).,1,1,0,retrieval_hit_model_right,16000,34915
deepseek-v3.2,en,en_statements_16000tok,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,"56% (332,149,236.2 out of  593,028,014.9)","The total 2026 allocation for 'Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)' (code 26) is 332,149,236.1 thousand som. The context does not provide the overall total of the 2026 program budget, so the share cannot be calculated.",0,"The model answer does not provide the required share (56%) and incorrectly claims the total is unavailable, contradicting the reference.",0,0,0,retrieval_miss_model_wrong,16000,29800
deepseek-v3.2,en,en_statements_16000tok,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,"Повышение социальных выплат - 76,517,019.4","The budget measure ""Государственный долг"" has the largest 2026 funding at 38.0 billion som.",0,"The model gave a different budget measure and amount, not matching the reference answer.",1,0,1,retrieval_hit_model_wrong,16000,29348
deepseek-v3.2,en,en_statements_16000tok,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом","Based solely on the provided context, the program under the Ministry of Emergency Situations (code 45) that receives the most 2026 funding is 'Управление и администрирование' (code 001), allocated 184,945.8 thousand som in 2026.",0,"The model gave a different program and amount, not matching the reference answer.",1,0,1,retrieval_hit_model_wrong,16000,31609
deepseek-v3.2,en,en_statements_16000tok,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,168 programs and 342 measures,The context does not contain the total number of budget programs and budget measures in the 2026 program-based budget.,0,The model answer does not provide the required numbers and incorrectly claims the information is missing.,0,0,0,retrieval_miss_model_wrong,16000,29254
deepseek-v3.2,en,en_statements_16000tok,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,1) Общегосударственные программы (МинФин); 2) Реализация проектов государственных инвестиций (Минводресурсов) 3) Государственная поддержка и развитие ирригации (Минводресурсов),"Based solely on the provided context, the three programs with the largest absolute funding decreases from 2026 to 2027 are:

1.  **'Общегосударственные программы' (Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты))** – Decrease of 31.9%.
2.  **'Цифровизация сельского хозяйства' (Министерство водных ресурсов, сельского хозяйства и перерабатывающей промышленности Кыргызской Республики)** – Decrease of 85.2%.
3.  **'Создание и распространение телерадиовещания на территории КР и за ее пределами' (Телерадиовещательные компании Кыргызской Республики)** – Decrease of 61.7%.

**Note:** The context provides percentage changes but not the absolute funding amounts for these specific programs, so the ranking is based on the magnitude of the percentage decrease.",1,"Only one of the three listed programs matches the reference; the other two are incorrect, so the answer is largely wrong.",0,0,0,retrieval_miss_model_wrong,16000,33951
deepseek-v3.2,en,en_statements_full,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,"42,380,106.4 тыс. сом",The context does not contain information about a 'School Education' program or its funding under the Ministry of Education (Министерство просвещения).,0,"The model claims no information is available, contradicting the reference which provides a specific funding amount.",1,0,1,retrieval_hit_model_wrong,full,32265
deepseek-v3.2,en,en_statements_full,2,easy,lookup,How many budget programs does the Ministry of Health have?,8,The context does not specify the number of budget programs for the Ministry of Health (code 37).,0,"The model answer states the number is unspecified, contradicting the reference answer of 8.",1,1,0,retrieval_hit_model_wrong,full,44203
