language,context,question_id,difficulty,category,question,reference_answer,contains_reference_answer,exact_reference_match,all_reference_numbers_found,reference_numbers,found_reference_numbers,substantive_reference_numbers,token_budget,context_chars
ru,ru_statements_full,3,easy,lookup,Какая программа имеет наибольшее финансирование в бюджете 2026 года?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом",1,0,1,164663857.2,164663857.2,164663857.2,full,56440
ru,ru_statements_full,4,easy,count,Сколько всего министерств и ведомств представлено в бюджете на программной основе?,88,1,1,0,88,88,,full,59687
ru,ru_statements_full,5,easy,lookup,Каков общий объем финансирования Жогорку Кенеша (парламента) на 2026 год?,"1,127,306.9 тыс. сом",1,1,1,1127306.9,1127306.9,1127306.9,full,53514
ru,ru_statements_full,6,medium,aggregation,Каков общий объем финансирования всех программ Министерства просвещения на 2026 год?,"56,424,894.11 тыс. сом",0,0,0,56424894.11,,56424894.11,full,54182
ru,ru_statements_full,7,medium,aggregation,Каков суммарный бюджет всех программ на уровне программ (program level) на 2026 год?,"Примерно 593.2 млрд сом (593,152,147.3 тыс. сом)",0,0,0,593.2|593152147.3,,593.2|593152147.3,full,56434
ru,ru_statements_full,8,medium,comparison,Какое министерство получает больше финансирования: Министерство здравоохранения или Министерство просвещения?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3  тыс. сом у здравоохранения",0,0,0,56424894.11|41621347.3,41621347.3,56424894.11|41621347.3,full,56557
ru,ru_statements_full,9,medium,comparison,"Как изменяется общий бюджет на уровне программ между 2026 и 2027 годами — растет или сокращается, и на сколько процентов?",declines by 7.1%,1,0,1,7.1,7.1,7.1,full,48893
ru,ru_statements_full,10,medium,lookup,Какая программа имеет наименьшее ненулевое финансирование в 2026 году?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,0,0,0,739.4,,739.4,full,60801
ru,ru_statements_full,11,medium,indicator,Какая единица измерения индикаторов результативности используется чаще всего в бюджете 2026 года?,Процент (%),0,0,0,,,,full,36935
ru,ru_statements_full,12,medium,aggregation,Каков общий объем финансирования программ Министерства транспорта и коммуникаций на 2026 год?,"16,881,928.10",1,0,1,16881928.1,16881928.1,16881928.1,full,55064
ru,ru_statements_full,13,hard,filter,Сколько министерств/ведомств имеют ровно одну бюджетную программу?,19,1,1,0,19,19,,full,47252
ru,ru_statements_full,14,hard,filter,Сколько программ демонстрируют рост финансирования более чем на 10% между 2026 и 2027 годами?,9,1,1,0,9,9,,full,65319
ru,ru_statements_full,15,hard,indicator,"Сколько строк в бюджете имеют индикатор результативности, измеряемый в людях (чел.)?",50,1,1,0,50,50,,full,39840
ru,ru_statements_full,16,hard,aggregation,Какова доля финансирования Министерства финансов (Общегосударственные расходы) от общего бюджета программ на 2026 год?,"56% (332,149,236.2 out of  593,028,014.9)",0,0,0,56|332149236.2|593028014.9,56,332149236.2|593028014.9,full,55759
ru,ru_statements_full,17,hard,lookup,Какая бюджетная мера (measure) имеет наибольшее финансирование в 2026 году?,"Повышение социальных выплат - 76,517,019.4",1,0,1,76517019.4,76517019.4,76517019.4,full,68077
ru,ru_statements_full,18,hard,comparison,Какая программа Министерства чрезвычайных ситуаций получает наибольшее финансирование в 2026 году?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом",1,0,1,4522247.8,4522247.8,4522247.8,full,59748
ru,ru_statements_full,19,hard,multi-step,Сколько всего бюджетных программ и бюджетных мер содержится в бюджете 2026 года на программной основе?,168 programs and 342 measures,1,0,1,168|342,168|342,168|342,full,49115
ru,ru_statements_full,20,hard,multi-step,Какие программы демонстрируют наибольшее абсолютное сокращение финансирования между 2026 и 2027 годами? Назовите топ-3.,1) Общегосударственные программы (МинФин); 2) Реализация проектов государственных инвестиций (Минводресурсов) 3) Государственная поддержка и развитие ирригации (Минводресурсов),0,0,0,1|2|3,1|2|3,,full,65941
