model,language,context,question_id,difficulty,category,question,question_en,question_ru,reference_answer,model_answer,token_budget,context_chars,judge_score,judge_reasoning
gemma4,en,en_structured_8000tok,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,What is the total 2026 funding across all programs of the Ministry of Education?,,"56,424,894.11 тыс. сом","The provided context does not contain information for a ""Ministry of Education""; it only lists the ""Министерство науки, высшего образования"" (Ministry of Science and Higher Education).",8000,15171,0,The model did not provide the required total funding value and gave an unrelated statement.
gemma4,en,en_structured_8000tok,7,medium,aggregation,What is the total budget across all program-level items for 2026?,What is the total budget across all program-level items for 2026?,,"Примерно 593.0 млрд сом (593,028,014.8 тыс. сом)","321,933.8 (Министерство здравоохранения Кыргызской, 001)
2,170,534.1 (Министерство здравоохранения Кыргызской, 372)
6,305,318.8 (Министерство здравоохранения Кыргызской, 373)
962,011.6 (Министерство здравоохранения Кыргызской, 374)
11,104,430.6 (Министерство здравоохранения Кыргызской, 375)
15,638,295.2 (Министерство здравоохранения Кыргызской, 376)
2,530,800.0 (Министерство здравоохранения Кыргызской, 377)
43,252.2 (Государственное агентство по защите перс, 001)
16,853.2 (Государственное агентство по защите перс, 582)
269,739.3 (Министерство экономики и коммерции Кыргы, 001)
240,842.6 (Министерство экономики и коммерции Кыргы, 282)
107,895.4 (Министерство экономики и коммерции Кыргы, 283)
213,365.4 (Министерство экономики и коммерции Кыргы, 284)
53,903.0 (Министерство экономики и коммерции Кыргы, 287)
19,561.8 (Министерство экономики и коммерции Кыргы, 288)
152,559.6 (Военная прокуратура Кыргызской Республик, 001)

Total: 39,945,296.6",8000,13219,0,"The answer gives a total of 39,945,296.6, which does not match the reference total of approximately 593.0 billion som."
gemma4,en,en_structured_8000tok,8,medium,comparison,Which ministry receives more funding: Ministry of Health or Ministry of Education?,Which ministry receives more funding: Ministry of Health or Ministry of Education?,,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3 тыс. сом у здравоохранения","The provided context contains information for the Ministry of Science and Higher Education (Министерство науки, высшего образования), but it does not contain information for the Ministry of Health or a general Ministry of Education. Therefore, there is not enough information to answer the question.",8000,2631,0,"The model claims insufficient information, but the reference clearly provides the funding amounts, indicating Education receives more funding."
gemma4,en,en_structured_8000tok,9,medium,comparison,"Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?","Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?",,declines by 7.1%,"The provided context does not contain the total program-level budget for all entities, only individual program and measure line items, making it impossible to calculate the overall growth or shrinkage percentage.",8000,15168,0,"The model answer does not provide the correct percentage decline and claims insufficient data, contrary to the reference answer."
gemma4,en,en_structured_8000tok,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,Which program has the smallest non-zero funding in 2026?,,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,"Программа «Социальная защита жертв от семейного и гендерного» (code 386) with 28,651.2.",8000,15168,0,"The model gave a different program and amount, not matching the reference answer."
gemma4,en,en_structured_8000tok,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,,Процент (%),The most commonly used unit of measurement for performance indicators is %.,8000,31866,3,"The model correctly identifies the unit as percent, matching the reference answer."
gemma4,en,en_structured_8000tok,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,What is the total 2026 program funding for the Ministry of Transport and Communications?,,"16,881,928.10 тыс. сом",The provided context does not contain information regarding the Ministry of Transport and Communications.,8000,15171,0,"The model answer fails to provide the required funding figure, stating no information is available."
gemma4,en,en_structured_8000tok,13,hard,filter,How many ministries/agencies have exactly one budget program?,How many ministries/agencies have exactly one budget program?,,22,14,8000,29459,2,Model provided a numeric answer for the count (the correct entity) but the number is incorrect (14 instead of 22).
gemma4,en,en_structured_8000tok,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,How many programs show funding growth of more than 10% between 2026 and 2027?,,9,"3 programs:
1. Верховный суд Кыргызской Республики (167): 3,787,470.5 to 3,053,203.4 (Decrease) - *Correction: Scanning for growth > 10%*
1. Министерство иностранных дел Кыргызской (233): 44,684.4 to 45,702.4 (2.2%)
2. Министерство финансов Кыргызской Республ (255): 104,267.8 to 106,329.2 (1.9%)
3. Министерство цифрового развития и иннова (001): 487,435.1 to 188,447.3 (Decrease)

Re-scanning all rows for funding_2027 > (funding_2026 * 1.1):
- Министерство финансов Кыргызской Республ (264): 118,757,161.3 to 131,802,316.2 (~11%)
- Национальная академия наук Кыргызской Ре (001): 60,662.6 to 141,699.7 (~133%)

Total: 2 programs.",8000,29459,1,"The model identified only 2 (or 3) programs with >10% growth, which contradicts the correct answer of 9."
gemma4,en,en_structured_8000tok,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,How many rows in the budget have a performance indicator measured in people (чел.)?,,57,4 rows,8000,31866,1,The answer addresses the same topic but provides an incorrect number (4 instead of 57).
gemma4,en,en_structured_8000tok,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,,"56% (332,149,236.2 out of 593,028,014.9)",The provided context does not contain information regarding the Ministry of Finance or General State Expenditures.,8000,17686,0,"The model answer does not provide the correct share (56%) and claims the information is missing, which is incorrect."
gemma4,en,en_structured_8000tok,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,Which budget measure (not program) has the largest 2026 funding?,,"Повышение социальных выплат - 76,517,019.4","Обеспечение доступности медицинских услуг населени (12,986,410.8)",8000,15168,0,"The model gave a different measure and amount, not the correct largest budget measure."
gemma4,en,en_structured_8000tok,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом",The provided context does not contain information regarding the Ministry of Emergency Situations.,8000,17686,0,"The model answer does not provide the required program and funding, instead claims lack of information, which is incorrect."
gemma4,en,en_structured_8000tok,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,How many total budget programs and budget measures are in the 2026 program-based budget?,,168 программ и 393 мер,"To determine the total number of budget programs and budget measures, I filtered the ""level"" column:

**1. Budget Programs (level = ""program""):**
1. Жогорку Кенеш (001)
2. Жогорку Кенеш (113)
3. Администрация Президента (122)
4. Архив Президента (001)
5. Фонды Президента и Кабинета Министров (142)
6. Управление делами Президента (152)
7. Управление делами Президента (153)
8. Управление делами Президента (154)
9. Управление делами Президента (155)
10. Верховный суд (001)
11. Верховный суд (162)
12. Верховный суд (166)
13. Верховный суд (167)
14. Счетная палата (001)
15. Счетная палата (172)
16. Центральная комиссия по выборам (001)
17. Центральная комиссия по выборам (182)
18. Центральная комиссия по выборам (183)
19. Генеральная прокуратура (001)
20. Генеральная прокуратура (192)
21. Генеральная прокуратура (193)
22. Генеральная прокуратура (194)
23. Военная прокуратура (001)
24. Омбудсмен (001)
25. Министерство юстиции (001)
26. Министерство юстиции (222)
27. Министерство юстиции (223)
28. Министерство юстиции (224)
29. Министерство юстиции (225)
30. Министерство юстиции (229)
31. Министерство иностранных дел (001)
32. Министерство иностранных дел (232)
33. Министерство иностранных дел (233)
34. Резервные и другие фонды территорий (242)
35. Министерство финансов (001)
36. Министерство финансов (253)
37. Министерство финансов (254)
38. Министерство финансов (255)
39. Министерство финансов (262)
40. Министерство финансов (263)
41. Министерство финансов (264)
**Total Programs: 41**

**2. Budget Measures (level = ""measure""):**
* Жогорку Кенеш: 2
* Администрация Президента: 3
* Архив Президента: 1
* Фонды Президента и Кабинета Министров: 2
* Управление делами Президента: 17
* Верховный суд: 8
* Счетная палата: 2
* Центральная комиссия по выборам: 3
* Генеральная прокуратура: 5
* Военная прокуратура: 2
* Омбудсмен: 1
* Министерство юстиции: 6
* Министерство иностранных дел: 3
* Резервные и другие фонды территорий: 6
* Министерство финансов: 43
**Total Measures: 104**

**Final Count:**
Programs: 41
Measures: 104",8000,31866,0,"The model gave 41 programs and 104 measures, which does not match the reference of 168 programs and 393 measures."
gemma4,en,en_structured_8000tok,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,,"1) Общегосударственные программы (Министерство финансов); 2)Реализация проектов государственных инвестиций (Министерство водных ресурсов, сельского хозяйства и перерабатывающей промышленности); 3) Государственная поддержка и развитие ирригации (Министерство водных ресурсов, сельского хозяйства и перерабатывающей промышленности)","To identify the programs with the largest absolute funding decrease from 2026 to 2027, we calculate the difference (Funding 2026 - Funding 2027) for all programs:

1.  **Министерство финансов Кыргызской Республ (Program 263):** 164,663,857.2 - 112,194,631.2 = **52,469,226.0**
2.  **Министерство финансов Кыргызской Республ (Program 254):** 10,614,609.5 - 9,479,566.8 = **1,135,042.7**
3.  **Управление делами Президента Кыргызской (Program 152):** 2,837,368.8 - 2,571,414.9 = **265,953.9**
4.  **Верховный суд Кыргызской Республики (Program 167):** 3,787,470.5 - 3,053,203.4 = **734,267.1**
5.  **Министерство финансов Кыргызской Республ (Program 992 - listed as measure but treated as program funding):** 2,418,048.5 - 2,322,126.8 = **95,921.7**

**Top 3 programs with the largest absolute funding decrease:**
1. Министерство финансов Кыргызской Республ (Program 263): 52,469,226.0
2. Министерство финансов Кыргызской Республ (Program 254): 1,135,042.7
3. Верховный суд Кыргызской Республики (Program 167): 734,267.1",8000,31866,0,The model answer lists different programs and values that do not match the three programs identified in the reference answer.
gemma4,en,en_statements_16000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,,"42,380,106.4 тыс. сом","42,380,106.4 thousand som",16000,49889,3,"The model provides the exact same numeric value and unit, correctly matching the reference answer."
gemma4,en,en_statements_16000tok,2,easy,lookup,How many budget programs does the Ministry of Health have?,How many budget programs does the Ministry of Health have?,,8,"The provided context does not state the total number of budget programs for the Ministry of Health (Министерство здравоохранения Кыргызской Республики), only listing specific programs and their budget measures.",16000,56332,0,"The model answer says the information is not provided, whereas the reference answer gives the correct number (8)."
gemma4,en,en_statements_16000tok,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,Which program has the largest funding allocation in the 2026 budget?,,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом","The program with the largest funding allocation in the 2026 budget is 'Администрирование государственных доходов' under the Ministry 'Министерство финансов Кыргызской Республики' (code 25), with 10,614,609.5 thousand som.",16000,52772,0,"The model gave a different program and amount, not matching the reference answer."
gemma4,en,en_statements_16000tok,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,How many total ministries and agencies are represented in the program-based budget?,,60,88,16000,47686,0,"The model gave 88, but the correct total is 60, so the answer is incorrect."
gemma4,en,en_statements_16000tok,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,,"1,127,306.9 тыс. сом","1,127,306.9 thousand som",16000,43182,3,The model provides the exact same numeric value and unit (thousand som) as the reference answer.
gemma4,en,en_statements_16000tok,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,What is the total 2026 funding across all programs of the Ministry of Education?,,"56,424,894.11 тыс. сом","The provided context does not contain information for a ""Ministry of Education""; however, the Ministry 'Министерство просвещения Кыргызской Республики' (code 34) is allocated a total of 56,424,894.1 thousand som in 2026.",16000,43658,3,"Model answer provides the same total funding value (56,424,894.1 thousand som) as the reference, correctly identifying the Ministry of Education's 2026 allocation."
gemma4,en,en_statements_16000tok,7,medium,aggregation,What is the total budget across all program-level items for 2026?,What is the total budget across all program-level items for 2026?,,"Примерно 593.0 млрд сом (593,028,014.8 тыс. сом)",The provided context does not contain the total budget across all program-level items for 2026.,16000,48065,0,"The model claims the information is missing, but the reference provides the total budget value, so the answer is incorrect."
gemma4,en,en_statements_16000tok,8,medium,comparison,Which ministry receives more funding: Ministry of Health or Ministry of Education?,Which ministry receives more funding: Ministry of Health or Ministry of Education?,,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3 тыс. сом у здравоохранения","Ministry of Education (Министерство просвещения Кыргызской Республики) receives more funding, with 56,424,894.1 thousand som in 2026, compared to the Ministry of Health (Министерство здравоохранения Кыргызской Республики), which receives 41,621,347.3 thousand som in 2026.",16000,45078,3,The model correctly identifies the Ministry of Education as receiving more funding and provides the accurate amounts matching the reference.
gemma4,en,en_statements_16000tok,9,medium,comparison,"Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?","Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?",,declines by 7.1%,"The provided context does not contain the total program-level budget for the entire 2026 republican budget, only totals for individual ministries and specific programs. Therefore, there is not enough information to determine if the total budget grows or shrinks or to calculate the percentage.",16000,47877,0,"The model claims insufficient information, whereas the reference provides a specific answer (declines by 7.1%)."
gemma4,en,en_statements_16000tok,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,Which program has the smallest non-zero funding in 2026?,,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,"The program 'Секретариат Совета безопасности' (program code 792) under the ministry 'Секретариат Совета безопасности Кыргызской Республики' (code 79) has the smallest non-zero funding in 2026, with 6,488.1 thousand som.",16000,51369,0,"The model gave a different program and amount, not matching the reference answer."
gemma4,en,en_statements_16000tok,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,,Процент (%),The most commonly used unit of measurement for performance indicators is %.,16000,27898,3,"The model correctly identifies the unit as percent, matching the reference answer."
gemma4,en,en_statements_16000tok,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,What is the total 2026 program funding for the Ministry of Transport and Communications?,,"16,881,928.10 тыс. сом","16,881,928.1 thousand som",16000,43833,3,The model provides the exact same numeric value and unit (thousand som) as the reference answer.
gemma4,en,en_statements_16000tok,13,hard,filter,How many ministries/agencies have exactly one budget program?,How many ministries/agencies have exactly one budget program?,,22,"Based on the provided context, the following 25 ministries/agencies have exactly one budget program:

1. Архив Президента Кыргызской Республики
2. Счетная палата Кыргызской Республики
3. Национальная академия наук Кыргызской Республики
4. Военная прокуратура Кыргызской Республики
5. Конституционный суд Кыргызской Республики
6. Генеральная прокуратура Кыргызской Республики
7. Фонды Президента и Кабинета Министров Кыргызской Республики
8. Центр перевода Кабинета Министров Кыргызской Республики
9. Академия государственного управления при Президенте Кыргызской Республики
10. Национальный статистический комитет Кыргызской Республики
11. Резервные и другие фонды территорий
12. Секретариат Совета безопасности Кыргызской Республики
13. Телерадиовещательные компании Кыргызской Республики
14. Редакции журналов и газет
15. Национальное агентство по инвестициям при Президенте Кыргызской Республики
16. Министерство культуры, информации и молодежной политики Кыргызской Республики
17. Министерство цифрового развития и инновационных технологий Кыргызской Республики
18. Государственное агентство гражданской авиации при Кабинете Министров Кыргызской Республики
19. Секретариат Народного Курултая
20. Государственное учреждение «Национальная академия «Манас»
21. Государственная служба испонения наказаний при при Кабинете Министров Кыргызской Республики
22. Государственное агентство по защите персональных данных при Кабинете Министров Кыргызской Республики
23. Омбудсмен (Акыйкатчы) Кыргызской Республики
24. Государственное агенство физической культуры и спорта при Кабинете Министров Кыргызской Республики
25. Государственное агентство по управлению государственным имуществом при Кабинете Министров Кыргызской Республики",16000,56688,1,"The answer lists ministries and gives a count of 25, which is incorrect; the correct number is 22."
gemma4,en,en_statements_16000tok,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,How many programs show funding growth of more than 10% between 2026 and 2027?,,9,"Based on the provided context, 4 programs show funding growth of more than 10% between 2026 and 2027:

1. **Национальная академия наук Кыргызской Республики** (program 001): 60,662.6 to 141,699.7 thousand som.
2. **Министерство транспорта и коммуникаций Кыргызской Республики** (program 001): 119,287.5 to 149,718.3 thousand som.
3. **Министерство водных ресурсов, сельского хозяйства и перерабатывающей промышленности Кыргызской Республики** (program 413): 479,788 to 643,477.5 thousand som.
4. **Министерство водных ресурсов, сельского хозяйства и перерабатывающей промышленности Кыргызской Республики** (program 415): 579,867.8 to 85,800.3 thousand som (This is a decrease).

Correction: Only 3 programs show growth of more than 10%:
1. **Национальная академия наук Кыргызской Республики** (program 001)
2. **Министерство транспорта и коммуникаций Кыргызской Республики** (program 001)
3. **Министерство водных ресурсов, сельского хозяйства и перерабатывающей промышленности Кыргызской Республики** (program 413)",16000,49476,0,"The model answer states 3 (or 4) programs, which does not match the correct number of 9 programs."
gemma4,en,en_statements_16000tok,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,How many rows in the budget have a performance indicator measured in people (чел.)?,,57,14,16000,27437,0,"The model gave 14, but the correct number is 57, so the answer is incorrect."
gemma4,en,en_statements_16000tok,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,,"56% (332,149,236.2 out of 593,028,014.9)","The provided context does not contain the total 2026 program budget, so the share cannot be calculated.",16000,47597,0,"The model claims the share cannot be calculated, contradicting the reference which provides the 56% figure."
gemma4,en,en_statements_16000tok,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,Which budget measure (not program) has the largest 2026 funding?,,"Повышение социальных выплат - 76,517,019.4","The budget measure with the largest 2026 funding is 'Стабилизационный фонд КР' (measure code 39) under the ministry 'Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)', with 50,000,000 thousand som.",16000,56875,0,"The model gave a different measure and amount, not matching the reference answer."
gemma4,en,en_statements_16000tok,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом","The program 'Управление материальными ценностями государственного и мобилизационного резерва' (program code 455) receives the most 2026 funding, with 4,522,247.8 thousand som.",16000,49781,3,The model correctly identifies the same program and funding amount as the reference answer.
gemma4,en,en_statements_16000tok,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,How many total budget programs and budget measures are in the 2026 program-based budget?,,168 программ и 393 мер,The provided context does not contain the total number of budget programs and budget measures in the 2026 program-based budget.,16000,50136,0,The model did not provide the required numbers and incorrectly claimed the information was unavailable.
gemma4,en,en_statements_16000tok,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,,"1) Общегосударственные программы (Министерство финансов); 2)Реализация проектов государственных инвестиций (Министерство водных ресурсов, сельского хозяйства и перерабатывающей промышленности); 3) Государственная поддержка и развитие ирригации (Министерство водных ресурсов, сельского хозяйства и перерабатывающей промышленности)","1. Общегосударственные программы (Ministry code 26): decrease of 52,469,226.0 thousand som.
2. Цифровизация сельского хозяйства (Ministry code 41): decrease of 521,067.5 thousand som.
3. Координирование, создание программ ТВ и РВ (Ministry code 85): decrease of 445,563.9 thousand som.",16000,49406,1,"Only one of the three listed programs matches the reference; the other two are incorrect, so the answer is related but wrong."
gemma4,en,en_markdown_16000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,,"42,380,106.4 тыс. сом","42,380,106.4 тыс.сом",16000,63940,3,"Exact same numeric value and unit as reference, formatting difference is negligible."
gemma4,en,en_markdown_16000tok,2,easy,lookup,How many budget programs does the Ministry of Health have?,How many budget programs does the Ministry of Health have?,,8,"The Ministry of Health (Министерство здравоохранения Кыргызской) has 5 budget programs:
1. Управление и администрирование
2. Программа «Общественное здравоохранение»
3. Программа «Организация предоставления услуг здравоохранения»
4. Программа «Медицинское образование и управление человеческим»
5. Предоставление услуг первично-медико санитарной помощи
6. Предоставление услуг медицинскими учреждениями на стационарн
7. Обеспечение доступа к льготному гемодиализному лечению",16000,63940,2,Identifies the Ministry of Health correctly but gives the wrong number of budget programs (5 instead of 8).
gemma4,en,en_markdown_16000tok,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,Which program has the largest funding allocation in the 2026 budget?,,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом","The program with the largest funding allocation in the 2026 budget is ""Общегосударственные программы"" under the Министерство финансов Кыргызской Республ, with 164,663,857.2 тыс.сом.",16000,63940,3,The model correctly identifies the program and exact funding amount as in the reference.
gemma4,en,en_markdown_16000tok,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,How many total ministries and agencies are represented in the program-based budget?,,60,22,16000,63940,2,The answer addresses the correct entity (total ministries and agencies) but provides an incorrect number (22 instead of 60).
gemma4,en,en_markdown_16000tok,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,,"1,127,306.9 тыс. сом","1,127,306.9 тыс.сом",16000,63940,3,"Exact same numeric value and unit as reference, formatting difference is negligible."
gemma4,en,en_markdown_16000tok,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,What is the total 2026 funding across all programs of the Ministry of Education?,,"56,424,894.11 тыс. сом","The provided context does not contain a ""Ministry of Education""; however, it lists the ""Министерство просвещения Кыргызской Респ"" (Ministry of Education and Science/Enlightenment) with the following program funding for 2026:

*   Управление и администрирование: 1,962,869.4 тыс.сом
*   Дошкольное образование и предшкольная подготовка: 8,891,657.5 тыс.сом
*   Школьное образование: 42,380,106.4 тыс.сом
*   Начальное и среднее профессиональное образование: 2,178,080.8 тыс.сом

Total: 55,412,714.1 тыс.сом",16000,63940,2,"Correct entity but the total funding figure (55,412,714.1) does not match the reference value (56,424,894.11)."
gemma4,en,en_markdown_16000tok,7,medium,aggregation,What is the total budget across all program-level items for 2026?,What is the total budget across all program-level items for 2026?,,"Примерно 593.0 млрд сом (593,028,014.8 тыс. сом)","To calculate the total budget across all program-level items for 2026, the following values are summed:

*   Жогорку Кенеш (Управление и администрирование): 1,047,143.9
*   Жогорку Кенеш (Обеспечение информацией...): 80,163.0
*   Администрация Президента (Администрация Президента КР): 669,719.2
*   Архив Президента (Управление и администрирование): 18,086.2
*   Фонды Президента и Кабинета Министров (Фонд Президента и Резервный фонд...): 2,030,000.0
*   Управление делами Президента (Обеспечение и координация деятельности...): 2,837,368.8
*   Управление делами Президента (Организация и координация деятельности): 805,338.5
*   Управление делами Президента (Создание и развитие Национального корпуса...): 116,882.7
*   Управление делами Президента (Реализация государственной политики...): 3,297,739.7
*   Верховный суд (Управление и администрирование): 406,745.3
*   Верховный суд (Эффективное продвижение экономической дипломатии): 290,900.9
*   Верховный суд (Управление и общая координация развития сельскохозяйственной): 3,392.5
*   Верховный суд (Планирование, обеспечение, по экономическому, социальному пр): 3,787,470.5
*   Счетная палата (Управление и администрирование): 165,033.1
*   Счетная палата (Проведение государственного аудита): 561,208.7
*   Центральная комиссия по выборам (Управление и администрирование): 174,569.0
*   Центральная комиссия по выборам (Внедрение электронной системы...): 59,137.4
*   Центральная комиссия по выборам (Разработка системы мониторинга...): 15,000.0
*   Генеральная прокуратура (Управление и администрирование): 666,610.0
*   Генеральная прокуратура (Надзор за исполнением законов по противодействию коррупции): 365,908.9
*   Генеральная прокуратура (Надзор за следствием и оперативно-розыскной деятельностью): 248,904.5
*   Генеральная прокуратура (Судебно-правовая реформа): 68,715.5
*   Военная прокуратура (Управление и администрирование): 152,559.6
*   Омбудсмен (Управление и администрирование): 115,861.1
*   Министерство юстиции (Управление и администрирование): 282,746.0
*   Министерство юстиции (Осуществление государственной регистрации...): 176,690.6
*   Министерство юстиции (Осуществление гарантированной государством юридической помощ): 191,314.8
*   Министерство юстиции (Исполнение уголовных наказаний...): 272,664.0
*   Министерство юстиции (Осуществление судебно-экспертной деятельности): 181,071.6
*   Министерство юстиции (Осуществление деятельности по представлению интересов КР...): 245,999.5
*   Министерство иностранных дел (Управление и администрирование): 2,287,244.9
*   Министерство иностранных дел (Представление интересов КР и ее граждан зарубежом): 2,408,549.4
*   Министерство иностранных дел (Предоставление высшего образования...): 44,684.4
*   Резервные и другие фонды территорий (Резервные и другие фонды территорий): 5,159,304.8
*   Министерство финансов (Управление и администрирование): 2,077,532.3
*   Министерство финансов (Эффективное управление государственными финансами): 332,704.9
*   Министерство финансов (Администрирование государственных доходов): 10,614,609.5
*   Министерство финансов (Противодействие финансированию террористической деятельности): 104,267.8
*   Министерство финансов (Пенсионное обеспечение и компенсации...): 46,670,347.3
*   Министерство финансов (Общегосударственные программы): 164,663,857.2
*   Министерство финансов (Государственные программы, мероприятия и выплаты): 118,757,161.3
*   Министерство финансов (Трансферты Фонду ОМС при ПКР): 2,057,870.4
*   Конституционный суд (Обеспечение конституционного правосудия...): 81,635.4
*   Министерство экономики и коммерции (Управление и администрирование): 269,739.3
*   Министерство экономики и коммерции (Благоприятная нормативно-правовая среда...): 240,842.6
*   Министерство экономики и коммерции (Макроэкономическая политика...): 107,895.4
*   Министерство экономики и коммерции (Устойчивый рост экспорта...): 213,365.4
*   Министерство экономики и коммерции (Развитие небанковского финансового рынка): 53,903.0
*   Министерство экономики и коммерции (Эффективное управление государственным имуществом): 19,561.8
*   Министерство науки, высшего образования (Управление и администрирование): 737,759.3
*   Министерство науки, высшего образования (Развитие науки, инноваций...): 132,692.0
*   Министерство науки, высшего образования (Содействие улучшению качественного состава...): 19,428.6
*   Министерство науки, высшего образования (Высшее и Среднее профессиональное образование): 3,669,147.5
*   Министерство науки, высшего образования (Государственная поддержка прикладных исследований...): 244,173.0
*   Министерство просвещения (Управление и администрирование): 1,962,869.4
*   Министерство просвещения (Дошкольное образование и предшкольная подготовка): 8,891,657.5
*   Министерство просвещения (Школьное образование): 42,380,106.4
*   Министерство просвещения (Начальное и среднее профессиональное образование): 2,178,080.8
*   Министерство здравоохранения (Управление и администрирование): 321,933.8
*   Министерство здравоохранения (Программа «Общественное здравоохранение»): 2,170,534.1
*   Министерство здравоохранения (Программа «Организация предоставления услуг здравоохранения»): 6,305,318.8
*   Министерство здравоохранения (Программа «Медицинское образование...»): 962,011.6
*   Министерство здравоохранения (Предоставление услуг первично-медико санитарной помощи): 11,104,430.6
*   Министерство здравоохранения (Предоставление услуг медицинскими учреждениями на стационарн): 15,638,295.2
*   Министерство здравоохранения (Обеспечение доступа к льготному гемодиализному лечению): 2,530,800.0
*   Министерство труда, социального обеспече (Управление и администрирование): 1,567,378.5
*   Министерство труда, социального обеспече (Поддержка семей и детей...): 15,529,568.0
*   Министерство труда, социального обеспече (Социальная защита лиц с ограничеными возможностями здоровья): 3,099,750.4
*   Министерство труда, социального обеспече (Предоставление денежных компенсаций...): 1,061,098.4
*   Министерство труда, социального обеспече (Содействие занятости населения...): 2,013,985.2
*   Министерство труда, социального обеспече (Социальная защита жертв от семейного и гендерного насилия): 28,651.2
*   Академия государственного управления (Управление и администрирование): 35,953.6
*   Академия государственного управления (Предоставление высшего профессионального образования...): 36,155.1
*   Академия государственного управления (Повышение квалификации государственных и муниципальных служа): 48,781.2
*   Общественное объединение «Республикански (Внесение предложений по защите...): 739.4
*   Министерство водных ресурсов, сельского (Управление и администрирование): 425,993.2
*   Министерство водных ресурсов, сельского (Развитие животноводства...): 1,294,075.7
*   Министерство водных ресурсов, сельского (Государственная поддержка и развитие растениеводства): 479,788.0
*   Министерство водных ресурсов, сельского (Государственная поддержка и развитие ирригации): 5,039,751.9
*   Министерство водных ресурсов, сельского (Цифровизация сельского хозяйства): 579,867.8

Total: 435,144,111.1 тыс.сом",16000,63940,2,"Model provided a total budget figure, but the amount (435,144,111.1 тыс. сом) does not match the correct value of approximately 593,028,014.8 тыс. сом."
