model,context,question_id,difficulty,category,question_en,reference_answer,model_answer,token_budget,context_chars,judge_score,judge_reasoning
deepseek-v3.2,statements_2000tok,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,Program 45/263 'Общегосударственные программы' has the smallest non-zero funding in 2026 at 0.0 тыс. сом.,2000,7994,0,"Model gave an incorrect program and a zero amount, not matching the reference's smallest non-zero funding of 739.4 тыс. сом."
deepseek-v3.2,statements_2000tok,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,Процент (%),The most commonly used unit of measurement for performance indicators in the 2026 budget is percentage (%).,2000,7908,3,"The model correctly identifies the most common unit as percentage (%), matching the reference answer."
deepseek-v3.2,statements_2000tok,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,"16,881,928.10 тыс. сом",16.9 billion som.,2000,7985,3,"The model correctly gave the total funding (≈16.9 billion som), matching the reference value of 16,881,928.10 тыс. сом."
deepseek-v3.2,statements_2000tok,13,hard,filter,How many ministries/agencies have exactly one budget program?,22,"The context does not contain the specific data on the number of budget programs allocated to each ministry/agency, so it is not possible to determine how many have exactly one.",2000,7969,0,"The model answer says the information is unavailable, contradicting the reference answer of 22."
deepseek-v3.2,statements_2000tok,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,9,"Based on the provided context, no program shows funding growth of more than 10% between 2026 and 2027. The largest increase shown is for Program 43/001 at approximately 25.5% (from 119,287.5 to 149,718.3), but this is not explicitly stated as a growth percentage in the context; only the raw numbers are given. The context only provides specific percentage changes for various 'Управление и администрирование' funding lines, and none of those exceed 10%.",2000,7912,0,"The model answer states no programs exceed 10% growth, contradicting the reference answer of 9 programs."
deepseek-v3.2,statements_2000tok,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,57,"Based on the context, there are 9 rows with a performance indicator measured in people (чел.).",2000,7876,2,The answer addresses the correct entity (rows with a performance indicator measured in people) but gives an incorrect number (9 instead of 57).
deepseek-v3.2,statements_2000tok,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,"56% (332,149,236.2 out of 593,028,014.9)",The context does not contain the numerical data needed to calculate the share of the total 2026 program budget allocated to the Ministry of Finance (General State Expenditures).,2000,7883,0,"The model claims insufficient data, but the reference provides the correct share (56%)."
deepseek-v3.2,statements_2000tok,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,"Повышение социальных выплат - 76,517,019.4","The budget measure ""Государственный долг"" has the largest 2026 funding at 38.0 billion som.",2000,7899,0,"The model gave a different budget measure and amount, not matching the reference answer."
deepseek-v3.2,statements_2000tok,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом",The context does not specify the funding amounts for individual programs under the Ministry of Emergency Situations (code 45).,2000,7942,0,"The model answer claims no information is available, contradicting the reference which provides a specific program and amount."
deepseek-v3.2,statements_2000tok,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,168 программ и 393 мер,The context does not contain the total number of budget programs and budget measures for the 2026 program-based budget.,2000,7849,0,"The model answer incorrectly states the information is unavailable, whereas the reference provides the exact numbers."
deepseek-v3.2,statements_2000tok,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,1) Общегосударственные программы (Министерство Финансов); 2) Государственная поддержка и развитие ирригации (Минводресурсов); 3) Администрирование государственных доходов (Министерство финансов),"Based solely on the provided context, the three programs with the largest percentage decreases are:

1. 'Цифровизация сельского хозяйства' (Министерство водных ресурсов, сельского хозяйства и перерабатывающей промышленности Кыргызской Республики) decreases by 85.2%.
2. 'Управление и администрирование' (Министерство цифрового развития и инновационных технологий Кыргызской Республики) decreases by 61.3%.
3. 'Общегосударственные программы' (Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)) decreases by 31.9%.

The context does not contain the absolute funding amounts, only percentage changes. Therefore, it is not possible to determine the largest absolute funding decreases.",2000,7934,0,"The model answer does not provide the three programs listed in the reference and claims insufficient data, which is incorrect."
deepseek-v3.2,markdown_2000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,"42,380,106.4 тыс. сом",The context provided does not contain information about the Ministry of Education or a 'School Education' program.,2000,7938,0,The model did not provide the required funding figure and incorrectly claimed the information was unavailable.
deepseek-v3.2,markdown_2000tok,2,easy,lookup,How many budget programs does the Ministry of Health have?,8,The provided context does not contain any information about the Ministry of Health or its budget programs.,2000,7938,0,The model did not provide the correct number of budget programs (8) and instead claimed no information was available.
deepseek-v3.2,markdown_2000tok,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом","The program with the largest funding allocation in the 2026 budget is ""Реализация государственной политики и осуществление межотрас"" under Управление делами Президента Кыргызской, with 3,297,739.7 тыс.сом.",2000,7938,0,"The model gave a different program and amount, not matching the reference answer."
deepseek-v3.2,markdown_2000tok,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,60,The provided context does not contain a complete list or a total count of all ministries and agencies. It only shows data for specific entities.,2000,7938,0,"The model did not provide the correct number (60) and claimed insufficient information, which is incorrect."
deepseek-v3.2,markdown_2000tok,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,"1,127,306.9 тыс. сом","The total 2026 funding for the Жогорку Кенеш (Jogorku Kenesh) is the sum of its two programs: 1,047,143.9 thousand som (for ""Управление и администрирование"") and 80,163.0 thousand som (for ""Обеспечение информацией о деятельности, контроля исполнения,""). This equals 1,127,306.9 thousand som.",2000,7938,3,"Model answer provides the exact total funding of 1,127,306.9 thousand som, matching the reference."
deepseek-v3.2,markdown_2000tok,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,"56,424,894.11 тыс. сом",The provided context does not contain any entries for the Ministry of Education.,2000,7938,0,"The model answer does not provide the required funding figure and incorrectly claims no data, whereas the reference gives a specific amount."
deepseek-v3.2,markdown_2000tok,7,medium,aggregation,What is the total budget across all program-level items for 2026?,"Примерно 593.0 млрд сом (593,028,014.8 тыс. сом)","The total budget across all program-level items for 2026 is 9,000,974.0 тыс. сом.

This is the sum of the 2026 values for each row where ""Level"" is ""program"": 1,047,143.9 + 80,163.0 + 669,719.2 + 18,086.2 + 2,030,000.0 + 2,837,368.8 + 805,338.5 + 116,882.7 + 3,297,739.7 + 406,745.3 + 290,900.9 + 3,392.5 = 9,000,974.0",2000,7938,0,"The model's total (9,000,974.0 тыс. сом) does not match the reference total of approximately 593,028,014.8 тыс. сом."
deepseek-v3.2,markdown_2000tok,8,medium,comparison,Which ministry receives more funding: Ministry of Health or Ministry of Education?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3 тыс. сом у здравоохранения",The context provided does not contain information on the Ministry of Health or the Ministry of Education.,2000,7938,0,"The model claims no information is available, but the reference clearly provides the funding amounts, making the answer incorrect."
deepseek-v3.2,markdown_2000tok,9,medium,comparison,"Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?",declines by 7.1%,"Based on the provided context, the total program-level budget for the listed entities grows from 2026 to 2027.

The total for 2026 is 10,471,439.9 + 801,630.0 + 6,697,192.0 + 180,862.0 + 2,030,000.0 + 2,837,368.8 + 805,338.5 + 1,168,827.0 + 3,297,739.7 + 406,745.3 + 290,900.9 + 3,392.5 = 28,991,636.6 тыс. сом.

The total for 2027 is 10,690,700.0 + 801,630.0 + 6,831,136.0 + 184,479.0 + 2,030,000.0 + 2,571,414.9 + 819,431.4 + 1,198,199.0 + 3,303,809.0 + 409,477.6 + 296,718.9 + 3,664.5 = 29,139,660.3 тыс. сом.

The growth is (29,139,660.3 - 28,991,636.6) / 28,991,636.6 = 0.0051, or approximately 0.51%.",2000,7938,0,"The model states the budget grows by 0.51%, contradicting the reference that it declines by 7.1%."
deepseek-v3.2,markdown_2000tok,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,"The program with the smallest non-zero funding in 2026 is ""Управление и общая координация развития сельскохозяйственной"" under Верховный суд Кыргызской Республики, with 3392.5 тыс.сом.",2000,7938,0,"The model gave a different program and amount, not matching the reference answer."
deepseek-v3.2,markdown_2000tok,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,Процент (%),"Количество (Количество принятых постановлений, Количество проведенных встреч, Количество изданных распоряжений, Количество обслуживаемых смет, Количество государственных учреждений, Количество изготавливаемых наград, Количество лиц, Количество рейсов, Количество детей, Количество выданных документов и т.д.).",2000,7938,0,The model answered 'Количество' (quantity) instead of the correct unit 'Процент (%)'.
deepseek-v3.2,markdown_2000tok,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,"16,881,928.10 тыс. сом",The provided context does not contain information on the Ministry of Transport and Communications or its 2026 program funding.,2000,7938,0,"The model did not provide the required funding figure, stating lack of information instead of the correct value."
deepseek-v3.2,markdown_2000tok,13,hard,filter,How many ministries/agencies have exactly one budget program?,22,"Based on the provided context, no ministry/agency has exactly one budget program. All listed entities have multiple programs or measures under their main program headings.",2000,7938,0,"Model answer states no ministries have exactly one program, contradicting the correct answer of 22."
deepseek-v3.2,markdown_2000tok,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,9,"Based on the provided context, no programs show funding growth of more than 10% between 2026 and 2027. All listed programs have increases of less than 5% or show a decrease.",2000,7938,0,"The model answer states zero programs, contradicting the correct answer of 9."
deepseek-v3.2,markdown_2000tok,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,57,The context does not contain any performance indicators measured in people (чел.).,2000,7938,0,"Model answer states there are none, contradicting the correct answer of 57 rows."
deepseek-v3.2,markdown_2000tok,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,"56% (332,149,236.2 out of 593,028,014.9)","The provided context does not contain any entries for the Ministry of Finance or General State Expenditures, so the share cannot be determined.",2000,7938,0,"The model answer claims the share cannot be determined, contradicting the reference which provides a specific 56% share."
deepseek-v3.2,markdown_2000tok,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,"Повышение социальных выплат - 76,517,019.4","The budget measure with the largest 2026 funding is ""Оказание государственной поддержки в случае возникновения не"" under the ""Фонды Президента и Кабинета Министров Кы"" program, with 2,000,000.0 тыс.сом.",2000,7938,0,"The model gave a different measure and amount, not matching the reference answer."
deepseek-v3.2,markdown_2000tok,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом",The provided context does not contain any information about the Ministry of Emergency Situations or its programs.,2000,7938,0,"The model answer does not provide the required program and funding, contradicting the reference answer."
deepseek-v3.2,markdown_2000tok,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,168 программ и 393 мер,"Based on the provided context, the 2026 program-based budget contains 12 total budget programs and 28 total budget measures.",2000,7938,0,"The model gave incorrect numbers (12 programs, 28 measures) instead of the correct 168 programs and 393 measures."
deepseek-v3.2,markdown_2000tok,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,1) Общегосударственные программы (Министерство Финансов); 2) Государственная поддержка и развитие ирригации (Минводресурсов); 3) Администрирование государственных доходов (Министерство финансов),"Based solely on the provided context, the programs with the largest absolute funding decrease from 2026 to 2027 are:

1.  Управление делами Президента Кыргызской Республики, program ""Обеспечение и координация деятельности по реализации единой государственной политики в области архивного дела и делопроизводства"": Decrease of 265,953.9 тыс. сом (from 2,837,368.8 to 2,571,414.9).
2.  Управление делами Президента Кыргызской Республики, measure ""Обеспечение высокого уровня предоставления государственных услуг в сфере здравоохранения"": Decrease of 276,872.1 тыс. сом (from 1,193,358.0 to 916,485.9).
3.  Управление делами Президента Кыргызской Республики, measure ""Обеспечение деятельности должностных лиц, возложенных на УДП КР"": Decrease of 6,395.8 тыс. сом (from 239,481.8 to 233,086.0).",2000,7938,0,The model answer lists unrelated programs and does not match any of the three programs identified in the reference answer.
deepseek-v3.2,statements_8000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,"42,380,106.4 тыс. сом",The context does not contain information about a 'School Education' program or its funding under the Ministry of Education (Министерство просвещения).,8000,31934,0,"The model answer claims no information is available, contradicting the reference which provides a specific funding amount."
deepseek-v3.2,statements_8000tok,2,easy,lookup,How many budget programs does the Ministry of Health have?,8,"Based on the provided context, the Ministry of Health (Министерство здравоохранения Кыргызской Республики, code 37) has three budget programs mentioned: ""Управление и администрирование"" (code 001), ""Программа «Общественное здравоохранение»"" (code 372), and ""Программа «Организация предоставления услуг здравоохранения»"" (code 373).",8000,31923,0,The model gave an incorrect number (three) instead of the correct eight budget programs.
deepseek-v3.2,statements_8000tok,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом","The program with the largest funding allocation in the 2026 budget is 'Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)' with 332.1 billion som.",8000,28496,2,Identifies the correct program but provides an incorrect funding amount.
deepseek-v3.2,statements_8000tok,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,60,"The context lists 68 distinct GRBS codes (from 11 to 88) for ministries, agencies, and other entities allocated budget programs in the 2026 republican budget.",8000,29451,2,Correctly identifies ministries and agencies but gives the wrong total count (68 instead of 60).
deepseek-v3.2,statements_8000tok,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,"1,127,306.9 тыс. сом",1.1 billion som,8000,27738,3,"Model's 1.1 billion som correctly approximates the reference 1,127,306.9 тыс. сом (≈1.127 billion som)."
deepseek-v3.2,statements_8000tok,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,"56,424,894.11 тыс. сом",56.4 billion som,8000,31889,3,"Model answer correctly gives the total funding as 56.4 billion som, matching the reference value (56,424,894.11 тыс. сом) with acceptable rounding."
deepseek-v3.2,statements_8000tok,7,medium,aggregation,What is the total budget across all program-level items for 2026?,"Примерно 593.0 млрд сом (593,028,014.8 тыс. сом)","The total 2026 budget across all program-level items is 332.1 billion som for 'Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)'. The context does not provide a sum of all individual ministry allocations to calculate a single overall total.",8000,26064,0,"Model answer provides an incorrect total (332.1 bn som) and limits it to one ministry, not the ~593 bn som overall total."
deepseek-v3.2,statements_8000tok,8,medium,comparison,Which ministry receives more funding: Ministry of Health or Ministry of Education?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3 тыс. сом у здравоохранения","Ministry of Education (Министерство просвещения) receives more funding. Its total is 56,424,894.1 thousand som in 2026, compared to the Ministry of Health's (Министерство здравоохранения) 41,621,347.3 thousand som in 2026.",8000,31856,3,The model correctly identifies the Ministry of Education as receiving more funding and provides matching figures.
deepseek-v3.2,statements_8000tok,9,medium,comparison,"Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?",declines by 7.1%,The context does not contain information about the total program-level budget change from 2026 to 2027. It only provides changes for individual ministries and agencies.,8000,26225,0,"The model claims no information is available, contradicting the reference which states a 7.1% decline."
deepseek-v3.2,statements_8000tok,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,Program 40/402 'Внесение предложений по защите материальных и социальных прав ветеранов и ветеранских организаций' has the smallest non-zero funding in 2026 at 739.4 тыс. сом.,8000,28942,3,The model correctly identifies the program with the smallest non-zero funding and gives the exact amount of 739.4 тыс. сом.
deepseek-v3.2,statements_8000tok,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,Процент (%),The most commonly used unit of measurement for performance indicators in the 2026 budget is percentage (%).,8000,31899,3,"The model correctly identifies the most common unit as percentage (%), matching the reference answer."
deepseek-v3.2,statements_8000tok,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,"16,881,928.10 тыс. сом",16.9 billion som.,8000,29453,3,"The model correctly gave the total funding (≈16.9 billion som), matching the reference value of 16,881,928.10 тыс. сом."
deepseek-v3.2,statements_8000tok,13,hard,filter,How many ministries/agencies have exactly one budget program?,22,"Based on the provided context, the information to determine the exact number of ministries/agencies with exactly one budget program is not available. The context lists ministries/agencies and some of their programs but does not provide a complete list of all programs for each entity.",8000,31839,0,"The model answer states the information is unavailable, contradicting the reference answer of 22."
deepseek-v3.2,statements_8000tok,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,9,"Based solely on the provided context, the number of programs with funding growth of more than 10% from 2026 to 2027 is **3**.

The programs are:
1. Program 80/001 'Управление и администрирование' (Национальная академия наук Кыргызской Республики): increases by 133.6%.
2. Program 43/001 'Управление и администрирование' (Министерство транспорта и коммуникаций Кыргызской Республики): increases by 25.5%.
3. Program 44/001 'Управление и администрирование' (Министерство цифрового развития и инновационных технологий Кыргызской Республики): decreases by 61.3% (Note: This is a decrease, not growth. The context also shows Program 69/001 for the same ministry with a large decrease, but no specific growth >10% for that code. The only explicit growth rates >10% are the 133.6% and 25.5% listed.)

Clarification: The context lists many growth percentages, but only the two increases (133.6% and 25.5%) are explicitly over 10%. The total budget growth for 'Министерство энергетики' is 33.2%, but this is for the total budget, not a specific program's funding in the provided data. Therefore, based strictly on the program funding growth figures given, the count is 2. However, the question asks for ""programs,"" and the context includes Program 45/263 'Общегосударственные программы' which goes from 0.0 in 2026 to 275.0 in 2027, which is an increase from zero. This represents an infinite percentage growth and should be counted as growth >10%. Adding this gives a total of 3 programs.",8000,26917,0,"The model answer gives 3 programs, but the correct number is 9, so it is incorrect."
deepseek-v3.2,statements_8000tok,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,57,"Based on the provided context, there are 22 rows with a performance indicator measured in people (чел.).",8000,31901,2,The model identified the correct type of rows but gave the wrong count (22 instead of 57).
deepseek-v3.2,statements_8000tok,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,"56% (332,149,236.2 out of 593,028,014.9)","Based solely on the provided context, the total 2026 allocation for 'Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)' (code 26) is 332,149,236.1 thousand som. The context does not provide the total sum of the entire 2026 program-based budget, so the share cannot be calculated.",8000,29800,0,"The model did not provide the correct share (56%) and claimed insufficient data, which is incorrect."
deepseek-v3.2,statements_8000tok,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,"Повышение социальных выплат - 76,517,019.4","The budget measure ""Государственный долг"" receives 38.0 billion som in 2026, which is the largest funding amount listed for any measure.",8000,29348,0,"The model gave a different measure and amount, not matching the reference answer."
deepseek-v3.2,statements_8000tok,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом","Based solely on the provided context, the program under the Ministry of Emergency Situations (code 45) that receives the most 2026 funding is 'Управление и администрирование' (code 001), allocated 184,945.8 thousand som in 2026.",8000,31609,0,"The model gave a different program and amount, not matching the reference answer."
deepseek-v3.2,statements_8000tok,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,168 программ и 393 мер,The context does not contain the total number of budget programs and budget measures in the 2026 program-based budget.,8000,29254,0,"The model answer fails to provide the required numbers, stating the information is missing, which is incorrect."
deepseek-v3.2,statements_8000tok,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,1) Общегосударственные программы (Министерство Финансов); 2) Государственная поддержка и развитие ирригации (Минводресурсов); 3) Администрирование государственных доходов (Министерство финансов),"Based solely on the provided context, the largest absolute funding decreases from 2026 to 2027 are:

1. 'Общегосударственные программы' (Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)): Decrease of 31.9%.
2. 'Цифровизация сельского хозяйства' (Министерство водных ресурсов, сельского хозяйства и перерабатывающей промышленности Кыргызской Республики): Decrease of 85.2%.
3. 'Создание и распространение телерадиовещания на территории КР и за ее пределами' (Телерадиовещательные компании Кыргызской Республики): Decrease of 61.7%.

Note: The context provides percentage changes but not the absolute som amounts for these specific programs, so the ranking is based on the magnitude of the percentage decreases reported.",8000,31914,0,"The model lists only one correct program and provides different, incorrect programs for the other two, failing to match the reference answer."
deepseek-v3.2,markdown_8000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,"42,380,106.4 тыс. сом",The provided context does not contain information about the Ministry of Education or a 'School Education' program.,8000,31863,0,"The model answer claims no information is available, contradicting the reference which provides a specific funding amount."
deepseek-v3.2,markdown_8000tok,2,easy,lookup,How many budget programs does the Ministry of Health have?,8,The provided context does not contain any entries for the Ministry of Health.,8000,31863,0,The model did not provide the correct number of budget programs (8) and instead claimed no information was available.
deepseek-v3.2,markdown_8000tok,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом","Based on the provided context, the program with the largest funding allocation in the 2026 budget is ""Общегосударственные программы"" under Министерство финансов Кыргызской Республики, with 164,663,857.2 тыс. сом.",8000,31863,3,The model correctly identified the program and the exact funding amount as in the reference.
deepseek-v3.2,markdown_8000tok,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,60,"The provided context does not contain a complete list or a total count of all ministries and agencies. It only shows a partial list starting from Жогорку Кенеш and ending with Министерство финансов. Therefore, the information is insufficient to determine the total number.",8000,31863,0,"The model answer says the information is insufficient, whereas the correct answer is 60, so it is incorrect."
deepseek-v3.2,markdown_8000tok,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,"1,127,306.9 тыс. сом","The total 2026 funding for the Жогорку Кенеш Кыргызской Республики is 1,127,306.9 thousand som.

This is the sum of its two programs: ""Управление и администрирование"" (1,047,143.9) and ""Обеспечение информацией о деятельности, контроля исполнения,"" (80,163.0).",8000,31863,3,The model provides the exact total funding value matching the reference.
deepseek-v3.2,markdown_8000tok,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,"56,424,894.11 тыс. сом",The provided context does not contain any entries for the Ministry of Education.,8000,31863,0,"The model answer does not provide the required funding figure and incorrectly claims no data, whereas the reference gives a specific amount."
deepseek-v3.2,markdown_8000tok,7,medium,aggregation,What is the total budget across all program-level items for 2026?,"Примерно 593.0 млрд сом (593,028,014.8 тыс. сом)","Based on the provided context, the total budget across all program-level items for 2026 is 164,663,857.2 тыс. сом. This is the amount for the ""Общегосударственные программы"" program under Министерство финансов Кыргызской Республики.",8000,31863,0,"The model provided a much lower figure (164,663,857.2 тыс. сом) and tied it to a single program, not the total across all program-level items, which should be about 593,028,014.8 тыс. сом."
deepseek-v3.2,markdown_8000tok,8,medium,comparison,Which ministry receives more funding: Ministry of Health or Ministry of Education?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3 тыс. сом у здравоохранения",The provided context does not contain information about the Ministry of Health or the Ministry of Education.,8000,31863,0,"The model claims no information is available, but the reference provides the funding amounts, making the answer incorrect."
deepseek-v3.2,markdown_8000tok,9,medium,comparison,"Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?",declines by 7.1%,"Based on the provided context, it is not possible to determine the total program-level budget change between 2026 and 2027. The context only contains selected programs and measures, not a complete list or a total sum.",8000,31863,0,"The model says it cannot determine the change, whereas the reference provides a specific decline of 7.1%."
deepseek-v3.2,markdown_8000tok,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,"The program with the smallest non-zero funding in 2026 is ""Льготное кредитование малого и среднего предпринимательства"" under Министерство финансов Кыргызской Республики, with 20,000.0 тыс.сом.",8000,31863,0,"The model gave a different program and amount, not matching the reference answer."
deepseek-v3.2,markdown_8000tok,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,Процент (%),"The most commonly used unit of measurement for performance indicators in the 2026 budget is a count or quantity (e.g., количество, число, доля, процент). Specific examples from the context include: Количество (number), Доля (share/proportion), Процент (percentage), Количество (amount), Уровень (level), and Сумма (sum).",8000,31863,0,"The model did not state that the most common unit is percentage, giving an incorrect answer."
deepseek-v3.2,markdown_8000tok,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,"16,881,928.10 тыс. сом",The provided context does not contain information on the Ministry of Transport and Communications.,8000,31863,0,"The model did not provide the required funding figure, stating no information instead of the correct value."
deepseek-v3.2,markdown_8000tok,13,hard,filter,How many ministries/agencies have exactly one budget program?,22,"Based on the provided context, the number of ministries/agencies with exactly one budget program is 3.

They are:
1. Архив Президента Кыргызской Республики
2. Фонды Президента и Кабинета Министров Кы
3. Военная прокуратура Кыргызской Республик",8000,31863,0,"The model gave 3 instead of the correct number 22, providing an incorrect answer."
deepseek-v3.2,markdown_8000tok,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,9,"Based on the provided context, no programs show funding growth of more than 10% between 2026 and 2027. All year-to-year changes for the listed programs are incremental and well below 10%.",8000,31863,0,"The model answered 0 programs, contradicting the correct answer of 9."
deepseek-v3.2,markdown_8000tok,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,57,"Based on the provided context, none of the rows have a performance indicator measured in people (чел.). The indicators use measures like percentages, quantities, amounts, or other units, but not ""чел.""",8000,31863,0,"The model answer states zero rows, contradicting the correct answer of 57 rows."
deepseek-v3.2,markdown_8000tok,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,"56% (332,149,236.2 out of 593,028,014.9)","Based on the provided context, the total 2026 program budget for the Ministry of Finance (including all its programs and measures) is 118,757,161.3 thousand som for ""Государственные программы, мероприятия и выплаты"" and 164,663,857.2 thousand som for ""Общегосударственные программы"". However, the context does not provide the overall total of the entire 2026 program-based budget for all ministries. Therefore, it is not possible to calculate the share.",8000,31863,0,"Model answer fails to provide the correct share (56%) and claims insufficient data, which is incorrect."
deepseek-v3.2,markdown_8000tok,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,"Повышение социальных выплат - 76,517,019.4","Based solely on the provided context, the budget measure with the largest 2026 funding is ""Обеспечение базовой части пенсии"" (Ensuring the basic part of the pension) under the Ministry of Finance, with 33,574,380.8 thousand som for 2026.",8000,31863,0,"The model gave a different measure and amount than the reference, which states the largest funding is 'Повышение социальных выплат' at 76,517,019.4."
deepseek-v3.2,markdown_8000tok,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом",The provided context does not contain any information about the Ministry of Emergency Situations or its programs.,8000,31863,0,"The model answer does not provide the required program and funding, contradicting the reference answer."
deepseek-v3.2,markdown_8000tok,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,168 программ и 393 мер,"Based on the provided context, the 2026 program-based budget contains 38 budget programs and 77 budget measures.",8000,31863,0,"The model gave 38 programs and 77 measures, which do not match the reference values of 168 programs and 393 measures."
